LICENSE NUMBER,BUSINESS NAME,LICENSE TYPE,LICENSE EXPIRATION DATE,LICENSE STATUS,PIN,WARD,DISTRICT COUNCIL,ADDRESS,Location,COUNT
20150002722,VINERIA COSSETTA,Liquor Off Sale,08/31/2016,Pending           ,062822230130,2,9,211 7TH ST W  ST PAUL MN 55102-2520,"(44.9437565629129, -93.103910824817)",1
20170003453,ST PAUL WINE BAR LLC,Liquor On Sale - 100 seats or less,08/24/2018,Pending,012823410188,2,9,1 LEECH ST  ST PAUL MN 55114-1623,"(44.9411322448222, -93.107898304976)",1
20170000021,GABES BY THE PARK,Liquor On Sale - 101-180 Seats,05/05/2019,Active,272923140004,4,10,991 LEXINGTON PKWY N  ST PAUL MN 55103-1107,"(44.9710391475023, -93.14692828127)",1
20020001517,DIXIE'S BAR & SMOKEHOUSE GRILL / SAJI-YA,Liquor On Sale - 291 or more Seats,05/01/2019,Active,022823410160,2,16,695 GRAND AVE  ST PAUL MN 55105-3422,"(44.9400486859137, -93.129620662653)",1
20160003846,FITZGERALD'S,Liquor On Sale - 101-180 Seats,06/01/2019,Active,012823210448,1,8,173 WESTERN AVE N  ST PAUL MN 55103-2017,"(44.9466721146534, -93.116280975002)",1
20120000274,HILLCREST LIQUORS INC,Liquor Off Sale,05/01/2019,Active,222922140037,6,2,1511 WHITE BEAR AVE N  ST PAUL MN 55106-1605,"(44.9867714386118, -93.025563452326)",1
20150001683,DARK HORSE,Liquor On Sale - 101-180 Seats,05/01/2019,Active,312922440899,2,17,250 7TH ST E  ST PAUL MN 55101-1401,"(44.9510002988324, -93.088061438249)",1
20040001004,CUB FOODS SUNRAY,Malt Off Sale,05/01/2019,Active,352922440054,7,1,2197 OLD HUDSON ROAD  ST PAUL MN 55119-4404,"(44.9519246699431, -93.007741104315)",1
20070002220,SALUT BAR AMERICAN,Liquor On Sale - 181-290 Seats,05/23/2019,Active,022823310139,2,16,917 GRAND AVE  ST PAUL MN 55105-3043,"(44.9402970698147, -93.138588759375)",1
0067334,COMO LAKESIDE PAVILION,Liquor On Sale - 101-180 Seats,06/04/2019,Active,222923440003,5,10,1360 LEXINGTON PKWY N  ST PAUL MN 55103-1060,"(44.9822671261722, -93.143176587392)",1
20140003650,GRAY DUCK TAVERN,Liquor On Sale - 291 or more Seats,06/01/2019,Active,062822120062,2,17,345 WABASHA ST N  ST PAUL MN 55102-1432,"(44.9450909785252, -93.094141625344)",1
20100001282,WINNER GAS,Malt Off Sale,06/17/2019,Active,292923120080,4,12,2233 ENERGY PARK DRIVE STE 900 ST PAUL MN 55108,"(44.9746573117252, -93.194748043397)",1
0016340,KEENAN'S 620 CLUB INC,Liquor On Sale - 100 seats or less,05/11/2019,Active,012823340168,2,9,620 7TH ST W  ST PAUL MN 55102-3124,"(44.934554462727, -93.116247574375)",1
20130000044,THE LIQUOR VAULT,Liquor Off Sale,05/09/2019,Active,312922430010,2,17,170 10TH ST E  ST PAUL MN 55101-2353,"(44.9520858916737, -93.092751571546)",1
20140000924,PUBLIC KITCHEN AND BAR,Liquor On Sale - 181-290 Seats,06/01/2019,Active,312922440609,2,17,229 6TH ST E  ST PAUL MN 55101-1919,"(44.9499328340767, -93.088280006944)",1
20140003421,SAINT DINETTE,Liquor On Sale - 100 seats or less,06/01/2019,Active,312922440090,2,17,261 5TH ST E  ST PAUL MN 55101,"(44.9496510161339, -93.086395474074)",1
20170000249,HOTEL METRO-ST PAUL,Liquor On Sale - 291 or more Seats,05/17/2019,Active,352922440016,7,1,2201 BURNS AVE  ST PAUL MN 55119-6667,"(44.9491115427413, -93.006066423097)",1
20020000728,YASIN FOOD MARKET,Malt Off Sale,06/09/2019,Active,352923130029,1,7,741 EDMUND AVE  ST PAUL MN 55104-2729,"(44.9585449837193, -93.131604204572)",1
20130000167,BUFFALO WILD WINGS,Liquor On Sale - 181-290 Seats,07/01/2019,Active,032823230115,1,13,80 SNELLING AVE N  ST PAUL MN 55104-6725,"(44.9436689709177, -93.16607659223)",1
20140000394,RED COW,Liquor On Sale - 100 seats or less,06/05/2019,Active,012823210045,1,8,393 SELBY AVE  ST PAUL MN 55102-1724,"(44.9466686365516, -93.116785625642)",1
20110001529,BARRIO TEQUILA BAR,Liquor On Sale - 100 seats or less,07/01/2019,Active,312922440898,2,17,235 6TH ST E  ST PAUL MN 55101,"(44.9500208873072, -93.088102181752)",1
20170000478,EAGLE STREET GRILLE,Liquor On Sale - 291 or more Seats,06/01/2019,Active,062822230007,2,9,174 7TH ST W  ST PAUL MN 55102-2521,"(44.9443160073844, -93.102672690674)",1
20040004319,METRO LIQUOR WAREHOUSE,Liquor Off Sale,06/28/2019,Active,332922220191,7,4,854 7TH ST E  ST PAUL MN 55106-4517,"(44.9625379516729, -93.064281956639)",1
20040000766,JOHNNY BABY'S,Liquor On Sale - 101-180 Seats,05/28/2019,Active,352923230200,1,7,981 UNIVERSITY AVE W  ST PAUL MN 55104-4705,"(44.9560678129941, -93.14182066074)",1
20070001039,CAMP BAR TWIN CITIES,Liquor On Sale - 101-180 Seats,05/25/2019,Active,312922431520,2,17,490 ROBERT ST N  ST PAUL MN 55101-2246,"(44.950722798796, -93.093830486061)",1
20150000321,HANDSOME HOG,Liquor On Sale - 100 seats or less,06/01/2019,Active,312922440609,2,17,203 6TH ST E  ST PAUL MN 55101,"(44.9497020953196, -93.088794355718)",1
20170001325,OX CARTE ALE HOUSE ROOFTOP,Liquor On Sale - 101-180 Seats,06/01/2019,Active,312922440615,2,17,255 6 ST E RFTOP ST PAUL MN 55101,"(44.9506617323386, -93.087114094933)",1
20160000743,SAWATDEE SAINT PAUL,Liquor On Sale - 101-180 Seats,05/03/2019,Active,312922431518,2,17,486 ROBERT ST N  ST PAUL MN 55101-2246,"(44.9506829149957, -93.093752204589)",1
20170000508,BAY STREET GRILL & PUB,Liquor On Sale - 101-180 Seats,05/15/2019,Active,112823140174,2,9,731 RANDOLPH AVE  ST PAUL MN 55102-3413,"(44.9269531088346, -93.130850284404)",1
20130005371,GREEN MILL,Liquor On Sale - 181-290 Seats,06/01/2019,Active,032823310025,3,14,57 HAMLINE AVE S  ST PAUL MN 55105-2248,"(44.9398385234865, -93.157005091241)",1
20170001324,OX CARTE ALE HOUSE,Liquor On Sale - 101-180 Seats,06/01/2019,Active,312922440615,2,17,255 6TH ST E  ST PAUL MN 55101,"(44.9506617323386, -93.087114094933)",1
0096027,WILEBSKI'S BLUES SALOON,Liquor On Sale - 181-290 Seats,06/04/2019,Active,192922220013,5,6,1638 RICE ST  ST PAUL MN 55117-3756,"(44.9905769520627, -93.105652034051)",1
0032727,BUCA DI BEPPO,Liquor On Sale - 291 or more Seats,07/01/2019,Active,212823420015,3,15,2728 GANNON ROAD  ST PAUL MN 55116-2642,"(44.8973564273398, -93.176943925412)",1
0013412,THE ST PAUL HOTEL,Liquor On Sale - 291 or more Seats,07/01/2019,Active,062822130003,2,17,350 MARKET ST  ST PAUL MN 55102-1430,"(44.9447970907213, -93.09630807709)",1
20090003498,CUB FOODS,Malt Off Sale,08/01/2019,Active,272922220162,6,2,1177 CLARENCE ST  ST PAUL MN 55106-2809,"(44.9763645672184, -93.044366740669)",1
0094203,TAVERN ON GRAND,Liquor On Sale - 101-180 Seats,07/01/2019,Active,022823410074,2,16,656 GRAND AVE  ST PAUL MN 55105-3402,"(44.9398084265793, -93.127729266391)",1
0018526,BILLY'S ON GRAND,Liquor On Sale - 291 or more Seats,06/21/2019,Active,022823420125,2,16,857 GRAND AVE  ST PAUL MN 55105-3398,"(44.9400775397998, -93.136161557865)",1
0013412,THE ST PAUL HOTEL,Liquor Off Sale,07/01/2019,Active,062822130003,2,17,350 MARKET ST  ST PAUL MN 55102-1430,"(44.9447970907213, -93.09630807709)",1
20180001778,UNION DEPOT BAR & GRILL,Liquor On Sale - 100 seats or less,06/20/2019,Active,062822110053,2,17,214 4TH ST E  ST PAUL MN 55101-1430,"(44.9479915032182, -93.086590396523)",1
0065734,PLUM'S NEIGHBORHOOD BAR & GRILL,Liquor On Sale - 101-180 Seats,06/26/2019,Active,102823230198,3,14,480 SNELLING AVE S  ST PAUL MN 55105-2147,"(44.9271953963444, -93.16659952139)",1
20120005702,SEVENTH STREET LIQUOR BARREL,Liquor Off Sale,07/01/2019,Active,012823340161,2,9,665 7TH ST W  ST PAUL MN 55102-3123,"(44.9343671031641, -93.117290047332)",1
20000003747,XCEL ENERGY/RIVERCENTRE/ROY WILKINS,Liquor On Sale - 291 or more Seats,07/01/2019,Active,062822240080,2,17,199 KELLOGG BLVD W  ST PAUL MN 55102-1811,"(44.9441204396955, -93.101241683651)",1
