Block,For_Address,Latitude,Longitude
119x vanburen av,"1190 Van Buren Ave, St Paul, MN 55104, USA",44.9618622,-93.1504399
11x como av,"110 Como Ave, St Paul, MN 55103, USA",44.958635,-93.10463
11x empire dr,"110 Empire Dr, St Paul, MN 55103, USA",44.961914,-93.0986667
11x jessamine av e,"110 Jessamine Ave E, St Paul, MN 55117, USA",44.97449940000001,-93.0958672
11x pennsylvania av w,"110 W Pennsylvania Ave, St Paul, MN 55103, USA",44.9607555,-93.1040278
11x sherburne av,"110 Sherburne Ave, St Paul, MN 55103, USA",44.9568439,-93.1046571
11x university av w,"110 University Ave W, St Paul, MN 55103, USA",44.9558426,-93.1058867
11x winter st,"110 Winter St, St Paul, MN 55103, USA",44.9596881,-93.10455019999999
11xx charles av,"1100 Charles Ave, St Paul, MN 55104, USA",44.9575521,-93.1467402
11xx edmund av,"1100 Edmund Ave W, St Paul, MN 55104, USA",44.9584615,-93.1467366
11xx university av w,"1100 University Ave W, St Paul, MN 55104, USA",44.9556268,-93.1464141
120x blair av,"1200 Blair Ave, St Paul, MN 55104, USA",44.9611396,-93.1508412
120x edmund av,"1200 Edmund Ave W, St Paul, MN 55104, USA",44.9582501,-93.1508301
120x minnehaha av w,"1200 W Minnehaha Ave, St Paul, MN 55104, USA",44.9627595,-93.15093189999999
